scope,metric,label,output,assessment,existing_math,gap_codes,contract_notes,source,symbol,line,windows,reference_state
period,MeanAbsoluteDeviation,平均绝对偏差,scalar per interval,C,"mean_where(abs(r-mean_where(r,valid)),valid)",,保留原轴与缺失掩码；完整数据可用 mean_absolute_deviation。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_MeanAbsoluteDeviation,700,2d;3d;5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,ReturnRange,"收益率范围, 也称为极差",scalar per interval,C,"max_where(r,valid)-min_where(r,valid)",,NaN忽略；全空样本需要明确结果契约。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_ReturnRange,531,2d;3d;5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,RescaledRange,标准化极差,scalar per interval,C,ReturnRange / Volatility,,不是 Hurst 的 R/S；常数样本源端可产生 NaN/Inf。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_RescaledRange,535,2d;3d;5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,MaxGain,最大单日收益,scalar per interval,D,"max_where(r,valid)",,最大有效对数收益。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_MaxGain,539,2d;3d;5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,MaxLoss,最大单日亏损,scalar per interval,D,"min_where(r,valid)",,最小有效对数收益。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_MaxLoss,543,2d;3d;5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,MaxDrawDown,最大回撤,scalar per interval,C,min_value(drawdown_series(close)),,正且有限NAV时直接成立；源端对缺失回撤填0，需路径掩码适配。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_max_draw_down_for_all,547,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,MaxDrawDownDays,最大回撤天数,scalar per interval,C,interval_trough(state)-interval_start(state); state=last_drawdown_interval(dd),,现有状态算子已按最后同深谷底选取；无回撤源端为0，原生缺区间须适配。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_max_draw_down_for_all,547,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,ReturnDrawDownRatio,收益率回撤比,scalar per interval,C,(exp(TotalReturn)-1)/abs(MaxDrawDown),,总回报先从log转简单收益；非有限结果0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_max_draw_down_for_all,547,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,DrawDownSlope,回撤斜率,scalar per interval,C,abs(MaxDrawDown)/MaxDrawDownDays,,0/0在源端变0，原生要先保护分母。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_max_draw_down_for_all,547,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,UlcerIndex,溃疡指数 (衡量最大回撤深度和持续时间的指标),scalar per interval,C,root_mean_square(dd),,源端缺失dd填0后，以全部价格行求RMS。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_max_draw_down_for_all,547,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,MartinRatio,"马丁比率 (绩效趋势比率), 衡量趋势的可复制性",scalar per interval,C,AnnualizedReturn / UlcerIndex,,源端不统一清理非有限比率。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_max_draw_down_for_all,547,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,SharpeRatio,夏普比率,scalar per interval,C,(TotalReturn-log_daily_rf*nature_days)/Volatility,,累计log口径；不是 mean/std 型Sharpe；非有限变0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_SharpeRatio,613,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,AnnualizedSharpeRatio,年化夏普比率,scalar per interval,C,(AnnualizedReturn-log_ann_rf)/(Volatility*sqrt(252)),,不能直接假设 SharpeRatio*sqrt(252)。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_AnnualizedSharpeRatio,608,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,ReturnVolatilityRatio,收益率波动率比,scalar per interval,C,TotalReturn / Volatility,,非有限变0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_ReturnVolatilityRatio,618,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,DownsideVolatility,下行波动率,scalar per interval,C,"std(where(r<mar,r-mar,0),1)",,MAR默认log日无风险；对完整零填充向量求方差，非负子集丢弃。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_DownsideVolatility,623,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,UpsideVolatility,上行波动率,scalar per interval,C,"std(where(r>0,r,0),1)",,完整零填充向量，ddof=1。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_UpsideVolatility,633,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VolatilitySkew,波动率偏度,scalar per interval,C,(UpsideVolatility-DownsideVolatility)/Volatility,,源码只清理NaN，不清理Inf。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VolatilitySkew,643,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VolatilityRatio,"波动率比, 也叫 上行潜在比率",scalar per interval,C,UpsideVolatility/DownsideVolatility,,非有限变0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VolatilityRatio,648,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,SortinoRatio,索提诺比率,scalar per interval,C,(TotalReturn-log_daily_rf*nature_days)/DownsideVolatility,,使用源码零填充的下行波动；非有限变0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_SortinoRatio,653,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,GainConsistency,收益趋势一致性,scalar per interval,C,"sqrt(sum_where((r-mu)^2,r>0)/count_true(r>0))/mu",,正子集总体标准差ddof=0；不能直接用ddof=1的 std_where。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_GainConsistency,658,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,LossConsistency,亏损趋势一致性,scalar per interval,C,"sqrt(sum_where((r-mu)^2,r<0)/count_true(r<0))/abs(mu)",,负子集ddof=0；空集、零除需无异常模板。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_LossConsistency,672,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,WinningRatio,胜率,scalar per interval,C,count_true(r>0)/count_true(valid),,零收益计入有效总样本；空样本与最终最小样本门禁另处理。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_WinningRatio,686,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,LosingRatio,亏损率,scalar per interval,C,count_true(r<0)/count_true(valid),,零收益计入有效总样本。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_LosingRatio,693,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,ReturnSkewness,收益率偏度,scalar per interval,C,skewness(r) or masked centered moments,,源码SciPy bias=False/nan_policy=omit；原生直接算子不忽略NaN，缺失时可用masked moments。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_ReturnSkewness,704,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,ReturnKurtosis,收益率峰度,scalar per interval,C,excess_kurtosis(r) or masked centered moments,,源码无偏超额峰度；小样本SciPy行为需显式适配，不能只照函数名。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_ReturnKurtosis,708,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaR-99,99% VaR,scalar per interval,C,"maximum(-(mean+normal_ppf(1-c)*std),0)",,正态参数法，不是历史分位VaR；normal_ppf近似与SciPy须设误差容限。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaR,716,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaR-95,95% VaR,scalar per interval,C,"maximum(-(mean+normal_ppf(1-c)*std),0)",,正态参数法，不是历史分位VaR；normal_ppf近似与SciPy须设误差容限。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaR,716,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaR-90,90% VaR,scalar per interval,C,"maximum(-(mean+normal_ppf(1-c)*std),0)",,正态参数法，不是历史分位VaR；normal_ppf近似与SciPy须设误差容限。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaR,716,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaRSharpe-95,基于 95% VaR 计算夏普比率,scalar per interval,C,(TotalReturn-log_daily_rf*nature_days)/VaR,,复用相应风险节点；非有限转0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaRSharpe,725,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaRModified-99,99% 修正VaR,scalar per interval,C,normal_ppf + skewness + excess_kurtosis + arithmetic,,Cornish-Fisher 多项式现有基础算子足够；不缺专用修正VaR算子。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaRModified,731,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaRModified-95,95% 修正VaR,scalar per interval,C,normal_ppf + skewness + excess_kurtosis + arithmetic,,Cornish-Fisher 多项式现有基础算子足够；不缺专用修正VaR算子。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaRModified,731,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaRModified-90,90% 修正VaR,scalar per interval,C,normal_ppf + skewness + excess_kurtosis + arithmetic,,Cornish-Fisher 多项式现有基础算子足够；不缺专用修正VaR算子。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaRModified,731,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,VaRModifiedSharpe-95,基于 95% 修正VaR 计算夏普比率,scalar per interval,C,(TotalReturn-log_daily_rf*nature_days)/VaRModified,,复用相应风险节点；非有限转0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_VaRModifiedSharpe,750,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaR-99,99% CVaR,scalar per interval,C,"maximum(-(mean-std*normal_pdf(normal_ppf(1-c))/(1-c)),0)",,源码正态CVaR；不等同于尾部样本均值。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaR,756,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaR-95,95% CVaR,scalar per interval,C,"maximum(-(mean-std*normal_pdf(normal_ppf(1-c))/(1-c)),0)",,源码正态CVaR；不等同于尾部样本均值。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaR,756,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaR-90,90% CVaR,scalar per interval,C,"maximum(-(mean-std*normal_pdf(normal_ppf(1-c))/(1-c)),0)",,源码正态CVaR；不等同于尾部样本均值。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaR,756,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaRModified-99,99% 修正CVaR,scalar per interval,C,"normal_pdf(CornishFisherZ), mean/std and arithmetic",,按源码将修正z放入pdf；保留该口径，不自行改成另一版修正ES。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaRModified,772,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaRModified-95,95% 修正CVaR,scalar per interval,C,"normal_pdf(CornishFisherZ), mean/std and arithmetic",,按源码将修正z放入pdf；保留该口径，不自行改成另一版修正ES。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaRModified,772,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaRModified-90,90% 修正CVaR,scalar per interval,C,"normal_pdf(CornishFisherZ), mean/std and arithmetic",,按源码将修正z放入pdf；保留该口径，不自行改成另一版修正ES。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaRModified,772,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaRSharpe-95,基于 95% CVaR 计算夏普比率,scalar per interval,C,(TotalReturn-log_daily_rf*nature_days)/CVaR,,复用相应风险节点；非有限转0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaRSharpe,766,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CVaRModifiedSharpe-95,基于 95% 修正CVaR 计算夏普比率,scalar per interval,C,(TotalReturn-log_daily_rf*nature_days)/CVaRModified,,复用相应风险节点；非有限转0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CVaRModifiedSharpe,792,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,Percentile-1,所有收益率前1%分位数 (一般是极端亏损部分),scalar per interval,D,"quantile_where(r,valid,tile/100)",,"线性插值；现有q只支持(0,1)，当前清单分位点都在范围内。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_Percentile,798,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,Percentile-99,所有收益率前99%分位数 (一般是极端盈利部分),scalar per interval,D,"quantile_where(r,valid,tile/100)",,"线性插值；现有q只支持(0,1)，当前清单分位点都在范围内。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_Percentile,798,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,Percentile-5,所有收益率前5%分位数 (一般是极端亏损部分),scalar per interval,D,"quantile_where(r,valid,tile/100)",,"线性插值；现有q只支持(0,1)，当前清单分位点都在范围内。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_Percentile,798,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,Percentile-95,所有收益率前95%分位数 (一般是极端盈利部分),scalar per interval,D,"quantile_where(r,valid,tile/100)",,"线性插值；现有q只支持(0,1)，当前清单分位点都在范围内。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_Percentile,798,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,Percentile-10,所有收益率前10%分位数 (一般是极端亏损部分),scalar per interval,D,"quantile_where(r,valid,tile/100)",,"线性插值；现有q只支持(0,1)，当前清单分位点都在范围内。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_Percentile,798,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,Percentile-90,所有收益率前90%分位数 (一般是极端盈利部分),scalar per interval,D,"quantile_where(r,valid,tile/100)",,"线性插值；现有q只支持(0,1)，当前清单分位点都在范围内。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_Percentile,798,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,PercentileWin-95,正收益率前5%分位数,scalar per interval,C,"quantile_where(r,r>0,tile/100)",,空正子集源码返回0，原生空集抛错；需无异常guard或空集默认值契约。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_PercentileWin,803,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,PercentileLoss-95,"负收益率取绝对值后, 前5%分位数",scalar per interval,C,"quantile_where(abs(r),r<0,tile/100)",,先对负收益取绝对值再分位；空子集变0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_PercentileLoss,812,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,PercentileWin-90,正收益率前10%分位数,scalar per interval,C,"quantile_where(r,r>0,tile/100)",,空正子集源码返回0，原生空集抛错；需无异常guard或空集默认值契约。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_PercentileWin,803,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,PercentileLoss-90,"负收益率取绝对值后, 前10%分位数",scalar per interval,C,"quantile_where(abs(r),r<0,tile/100)",,先对负收益取绝对值再分位；空子集变0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_PercentileLoss,812,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,TailRatio-90,"尾部比率, 极端正收益与极端负收益的比值",scalar per interval,C,"PercentileWin / maximum(PercentileLoss,1e-6)",,源码先钳制极小loss；不缺tail ratio数学原语。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_TailRatio,823,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,TailRatio-95,"尾部比率, 极端正收益与极端负收益的比值",scalar per interval,C,"PercentileWin / maximum(PercentileLoss,1e-6)",,源码先钳制极小loss；不缺tail ratio数学原语。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_TailRatio,823,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,NewHighRatio,净值新高比率,scalar per interval,C,count_true(new_high_mask(close))/valid_count,,严格大于以前峰值、首个有效值计新高；源端允许NaN，native new_high_mask要求正有限值。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_NewHighRatio,838,5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CrossProductRatio-1,交叉乘积比率 (基于单日收益统计),scalar per interval,B,sign transition counts after valid selection / nonoverlap block sum,G3,1日版需跨NaN连接前后有效观测；5/10日先非重叠分块求和、丢尾，再剔空块。engine cal_cpr 是相对类型日中位数的 same/changed，不能复用为WW*LL/(WL*LW)。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CrossProductRatio,893,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,CrossProductRatio-5,交叉乘积比率 (基于5日收益统计),scalar per interval,B,sign transition counts after valid selection / nonoverlap block sum,G3,1日版需跨NaN连接前后有效观测；5/10日先非重叠分块求和、丢尾，再剔空块。engine cal_cpr 是相对类型日中位数的 same/changed，不能复用为WW*LL/(WL*LW)。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_CrossProductRatio,893,50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
